id;anio;titulo;resumen;vistas_txt;vistas;descargas_txt;descargas;google_scholar;tesista;cant_autor;docente_guia;cant_docguia;tipo_tesis;carrera;materias;editorial;url;pdf;facultad
58131;2015;Inventario forestal del bosque nativo de la Finca Estancia Vieja, Departamento de Anta, Provincia de Salta, Argentina;;0;0;0;0;;Figueroa Nicolás Sebastián;1;Garkus Cristian Federico;1;Tesis de Licenciatura;Licenciatura en Administración Agropecuaria;Tesis | Administración de empresas agropecuarias | Bosque y selva tropicales | Planificación territorial;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58131;;Economía y Administración
58136;2016;Los efectos del uso de herramientas informáticas de control de gestión en empresas agropecuarias :  Sistema SYNAgro;;0;0;0;0;;Rivarosa Nuria Juliana;1;Fedre Daniel;1;Tesis de Licenciatura;Licenciatura en Administración Agropecuaria;Tesis | Administración de empresas agropecuarias | Sistema informático;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58136;;Economía y Administración
58383;2016;Identidad corporativa de una empresa de productos químicos en la provincia de Tucumán;;0;0;0;0;;Ponce de León María Belén;1;Arbilla Lucas Emiliano;1;Tesis de Grado;Licenciatura en Diseño Gráfico;Tesis | Diseño gráfico;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58383;;Artes y Ciencias
58386;2016;Análisis de la estrategia de comunicación del sitio oficial de la Municipalidad de Salta;;0;0;0;0;;Rocha María Pía;1;Hamada Juan Pablo;1;Tesis de Licenciatura;Licenciatura en Comunicaciones Sociales;Tesis | 5 Información y comunicación | Internet;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58386;;Artes y Ciencias
58458;2015;Prevencion de delitos a falta de un sistema de identificacion en maquinarias agrarias de produccion artesanal;;0;0;0;0;;Calamaro Maria Belen;1;Rodriguez Jorge;1;Tesis de Licenciatura;Licenciatura en Criminalística;Tesis | Criminalística | Maquinaria agrícola | Diseño de máquinas | Identificación;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58458;;Ciencias Jurídicas
58955;2015;Instalación de una central solar fotovoltáica de 150 KWp en la localidad de Tolar Grande;;0;0;0;0;;Cuartero Ponce Ramiro  Montaño César Luis;2;;1;Tesis de Grado;Ingeniería Industrial;Tesis | Energía solar | Ingeniería industrial;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58955;;Ingeniería
58957;2015;Proyecto, diseño y pavimentación :  Ruta prov. Nº 150s;;0;0;0;0;;Carpio Pollan Federico Alejandro  Orellana Cristian Ezequiel;2;Castillo Eduardo;1;Tesis de Grado;Ingeniería Civil;Tesis | Ingeniería civil;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=58957;;Ingeniería
59178;2016;Seguridad estructural en obra de construcción. Andamios;;0;0;0;0;;Saracho Alvaro David;1;;1;Tesis de Licenciatura;Licenciatura en Higiene y Seguridad en el Trabajo;Tesis | Construcción  de aviones (derecho aéreo) | Elemento estructural (construcción) | Seguridad industrial;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59178;;Ingeniería
59181;2016;Gestión integral de residuos hospitalarios. Riesgos asociados;;0;0;0;0;;Echeverria Emilia Sofía;1;Alfieri Víctor Hugo;1;Tesis de Licenciatura;Licenciatura en Higiene y Seguridad en el Trabajo;Tesis | Gestión hospitalaria | Residuos hospitalarios | Hospital;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59181;;Ingeniería
59311;2016;Depósito fiscal en Salta Capital para productos agrícolas del NOA;"La siguiente tesis busca describir cuales son los lineamientos o reglamentaciones legales que delimitan el funcionamiento de un Depósito Fiscal, como herramienta de control del órgano fiscalizador Nacional de las operaciones internacionales, la Dirección General de Aduana, que funciona dentro de la órbita de la Administración Federal de Ingresos Públicos._x000D_
También se busca describir el contexto productivo en el cual podría ejecutarse este depósito y por lo tanto, se incluyó dentro de la investigación a los agroproductos que forman parte de la Oferta Exportable de la Región NOA, haciendo mayor énfasis en los producidos por las Provincia de Salta, con un breve apartado que menciona a la actividad Minera, por representar un alto valor e interés económico. Dentro de la sección también se incluyó los destinos de estos productos, para poder representar cual es el campo de acción y funcionamiento del depósito fiscal como dinamizador del comercio exterior. Contando también con todas las conexiones logísticas que ofrece el Corredor Bioceánico Norte y la ZICOSUR._x000D_
Con el continuo desarrollo del estudio, se pudo establecer tres localizaciones posibles para la instalación del depósito, nombrando de manera anticipada: La Zona Primaria dentro de la Zona Franca de General Güemes – Salta; La Zona del Aeropuerto Internacional Martín Miguel de Güemes; y por último no menos importante, el Salar de Posítos para la industria minera local._x000D_
Para poder dar una vista profesional del tema en el campo de acción, se realizó una encuesta semiestructurada a 10 despachantes de aduana que actualmente se desempeñan en los negocios internacionales, y además, se llevó a cabo una entrevista al Gerente de la Cámara de Comercio Exterior de Salta._x000D_
This dissertation aims to describe which are the legal guidelines or regulations that limit the operation of a tax warehouse, as a tool for control of the National regulatory agency of international operations, the Directorate General of Customs, which operates within the orbit of the Federal Public Revenue Administration._x000D_
It also seeks to describe the productive context in which this deposit could be executed and therefore included within the Agroproductos research as part of exportable supply of the NOA Region, placing greater emphasis on those produced by the Province of Salta, with a brief section that mentions mining, to represent a high value and economic interest._x000D_
Under section also include the destinations of these products, which is to represent the scope and operation of the tax warehouse as a dynamic foreign trade. Also counting on all logistics connections offered by the Northern Bi-oceanic Corridor could and ZICOSUR._x000D_
With the continuous development of the study, it was established three possible locations for installing the tank, naming in advance: the primary zone within the Free Zone General Guemes - Salta; Zone Martin Miguel de Guemes International Airport; and last but not least, the Salar de Posítos for the local mining industry._x000D_
To give a professional view of the topic in the scope of a semi structured survey was conducted at 10 customs agents currently working in international business, and also conducted an interview with the Manager of the Chamber of Foreign Trade Salta.";114 Vistas;114;174 Descargas;174;https://scholar.google.com/scholar?as_q=&as_epq=Dep%C3%B3sito%20fiscal%20en%20Salta%20Capital%20para%20productos%20agr%C3%ADcolas%20del%20NOA&as_occt=any;Balestrini González Agustín;1;Graneros María Elena;1;Tesis de Licenciatura;Licenciatura en Comercio Internacional;Tesis de grado | Arancel aduanero | Producto agrícola | Logística;Facultad Escuela de Negocios;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59311;https://bibliotecas.ucasal.edu.ar/opac_css/59311/427/42759311.pdf;Economía y Administración
59335;2015;Ausentismo laboral en Curtiembre Arlei S.A,;;0;0;0;0;;Sanramé Hernández Carlos Alberto;1;;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59335;;Economía y Administración
59337;2015;Marketing personal para la inserción laboral de jóvenes profesionales;;0;0;0;0;;Nieva Mariano Gastón;1;;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Marketing personal | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59337;;Economía y Administración
59340;2015;El bienestar laboral en las organizaciones estatales :  Relación existente entre la satisfacción laboral y satisfacción del cliente;;0;0;0;0;;Maita Castro Constanza;1;Salom José Luis Gabriel;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Satisfacción en el trabajo | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59340;;Economía y Administración
59342;2015;Gestión de competencias en empresas multinacionales :  Comunicación e involucramiento para el éxito del modelo de gestión de recursos humanos basado en competencias;;0;0;0;0;;Luna Ximena Rita Patricia;1;;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Competitividad laboral | Recursos humanos | Gestión del personal;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59342;;Economía y Administración
59344;2015;Nuevos escenarios para la productividad de las personas en las organizaciones :  La relación de las políticas motivacionales con la tasa de ausentismo en el área de atención al cliente en tarjeta violeta;;0;0;0;0;;Macchioni Carrizo Carla;1;;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Motivación en el trabajo  | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59344;;Economía y Administración
59346;2015;La satisfacción laboral en la relación de intercambio entre empleados y empresa :  Empresa Agua y Soda Ideal;;0;0;0;0;;Romero Ressi María Alejandra;1;Salom José Luis Gabriel;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Satisfacción en el trabajo | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59346;;Economía y Administración
59349;2015;Análisis comparativo de la posición y el desarrollo de la planificación de recursos humanos entre el Hospital Público Materno Infantil y la Maternidad Privada, Salta;;0;0;0;0;;Fuenzalida Pablo;1;Salom José Luis Gabriel;1;Tesis de Licenciatura;Licenciatura en Recursos Humanos;Tesis | Desarrollo de recursos humanos | Recursos humanos;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59349;;Economía y Administración
59355;2016;Proyecto de edificio escolar para personas con capacidades especiales;;0;0;0;0;;Tarifa Duran Inti Pó;1;Gallo Cornejo Rodolfo;1;Tesis de Grado;Ingeniería Civil;Tesis | Edificio educativo | Discapacidad | Ingeniería civil;Universidad Católica de Salta;https://bibliotecas.ucasal.edu.ar/opac_css/index.php?lvl=cmspage&pageid=24&id_notice=59355;;Ingeniería
